lead_id,pricing_page_visits_decayed,demo_page_visits_decayed,case_study_views_decayed,roi_calculator_uses_decayed,blog_views_decayed,careers_page_visits_decayed,high_intent_touch_count,visited_pricing_or_demo,pages_per_session,visited_last_7_days,is_bot_suspect,email_opens_decayed,email_clicks_decayed,open_rate,click_to_open_rate,content_engagement_decayed,is_unsubscribed,is_hard_bounced,trial_depth_score,is_engaged_trial,industry_tier,lead_source_tier,tech_stack_score,seniority_rank,is_decision_maker,company_size_score,log_annual_revenue,is_smb_fit,dm_x_pricing_or_demo,senior_x_trial,smb_fit_x_intent,cross_channel_engaged,good_source_x_content
L00001,0.0,0.0,0.0,0.0,0.8,0.0,0,0,7.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,12,1,1,3,1,3,0,2,7.5455482994100045,0,0,1,0,0,0
L00002,0.0,0.0,0.9333333333333333,0.0,2.8,0.0,0,0,4.0,1,0,0.7333333333333334,0.0,0.5,0.0,2.2,0,0,10,0,1,2,1,3,1,4,4.044804116661965,1,0,0,0,0,1
L00003,0.3666666666666667,0.0,0.0,0.0,0.3666666666666667,0.0,1,1,7.0,0,0,2.6,0.0,0.214,0.0,0.0,0,0,0,0,1,3,1,3,1,2,9.254739959272866,0,1,0,0,1,0
L00004,0.0,0.0,0.0,0.0,0.0,0.0,1,1,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,3,2,0,1,2,9.336558840231444,0,1,0,0,0,1
L00005,0.0,0.0,0.0,0.0,3.8666666666666667,0.9666666666666667,0,0,5.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,1,4,1,3,7.10175834054993,1,0,0,0,0,0
L00006,0.0,0.0,0.0,0.23333333333333328,0.23333333333333328,0.0,0,0,4.0,0,0,4.166666666666667,0.0,0.278,0.0,0.0,0,0,27,1,2,2,2,1,1,2,9.318073071779065,0,0,0,0,0,0
L00007,0.0,0.0,0.0,0.0,0.0,0.0,2,1,7.0,0,0,3.7333333333333334,0.0,0.222,0.0,0.0,0,0,18,1,2,3,0,4,1,1,7.5455482994100045,0,1,1,0,1,0
L00008,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7.0,0,0,1.2000000000000002,0.8,0.176,0.667,0.8,0,0,0,0,3,2,1,4,1,1,10.969721267140216,0,1,0,0,1,1
L00009,0.0,0.0,0.6,0.6,2.4,0.0,0,0,3.0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,2,2,0,3,1,3,6.789309523775655,1,0,0,0,0,0
L00010,0.0,0.0,0.0,0.0,4.166666666666667,0.8333333333333334,0,0,10.0,1,0,0.9,0.0,0.071,0.0,0.0,0,0,14,1,1,3,0,1,0,4,4.598145571051127,1,0,0,0,0,0
L00011,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,5.833333333333334,0.8333333333333334,2,1,20.0,1,1,0.19999999999999996,0.0,0.375,0.0,0.29999999999999993,0,0,43,1,2,2,1,2,0,0,12.533875626799052,0,0,0,0,1,1
L00012,0.0,0.0,0.7666666666666666,0.0,4.6,0.7666666666666666,0,0,7.0,1,0,0.9666666666666667,0.0,0.25,0.0,1.9333333333333333,0,0,0,0,1,2,1,1,0,1,10.843338548819297,0,0,0,0,0,1
L00013,0.5333333333333333,0.0,0.0,0.0,1.0666666666666667,0.5333333333333333,1,1,20.0,0,1,0.0,0.0,0.333,0.0,0.0,0,0,0,0,3,3,1,1,0,4,5.489763831118992,1,0,0,1,0,1
L00014,0.0,0.0,0.0,0.0,1.3333333333333335,0.6666666666666667,0,0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,3,1,1,9.801764856426258,0,0,0,0,0,0
L00015,0.0,0.0,1.0,0.0,2.0,0.0,0,0,5.0,0,0,3.3333333333333335,0.8333333333333334,0.667,0.25,3.3333333333333335,0,0,0,0,2,3,1,3,1,1,10.41224303503752,0,0,0,0,0,1
L00016,0.0,0.0,0.0,0.0,2.0,1.0,0,0,8.0,1,0,0.8666666666666667,0.0,0.067,0.0,0.0,0,0,0,0,2,2,1,1,0,3,7.5455482994100045,1,0,0,0,0,0
L00017,0.0,0.0,0.0,0.0,3.8666666666666667,0.9666666666666667,0,0,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,22,1,1,3,2,0,0,2,8.658918422669222,0,0,0,0,0,1
L00018,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,0,0,0.6666666666666667,0.0,0.143,0.0,0.0,0,0,14,1,1,2,2,1,0,3,6.596190266067024,1,0,0,0,0,0
L00019,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0,0,0.0,0.0,0.091,0.0,0.0,0,0,11,0,1,2,1,1,0,4,7.5455482994100045,1,0,0,0,0,1
L00020,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0,0,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3,1,1,0,3,6.019322875236378,1,0,0,0,0,1
L00021,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,2.6,0.0,2,1,3.0,1,0,2.8,0.7,0.5,0.25,1.4,0,0,0,0,2,2,2,1,0,2,9.456755038226651,0,0,0,0,1,1
L00022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0.143,0.0,0.0,0,0,11,0,2,2,1,0,1,4,5.015954455573856,1,0,0,0,0,0
L00023,0.9,0.9,1.8,0.0,4.5,0.0,2,1,11.0,1,0,1.3333333333333335,0.0,0.4,0.0,1.3333333333333335,0,0,0,0,1,1,0,1,0,3,7.304314177619305,1,0,0,1,1,0
L00024,0.0,0.3666666666666667,0.0,0.3666666666666667,0.7333333333333334,0.3666666666666667,1,1,2.0,0,0,0.5333333333333334,0.0,0.154,0.0,2.4000000000000004,0,0,0,0,1,3,0,1,0,3,7.337522679613266,1,0,0,1,1,1
L00025,0.0,0.0,0.0,0.0,4.833333333333333,1.9333333333333333,0,0,6.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,15,0,1,3,1,4,1,3,6.2285110035911835,1,0,0,0,0,1
L00026,0.5,0.0,0.0,0.0,2.0,0.5,1,1,8.0,0,0,0.0,0.0,0.111,0.0,0.0,1,0,0,0,1,1,1,1,0,1,7.5455482994100045,0,0,0,0,0,0
L00027,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0,0,20.0,0,1,4.0,0.0,0.5,0.0,6.0,0,0,0,0,2,2,2,3,1,3,6.081990573807353,1,0,0,0,0,1
L00028,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.1333333333333333,0.0,2,1,10.0,0,0,2.0,0.6666666666666667,0.158,0.333,0.0,0,0,0,0,1,1,1,1,0,3,7.113793362393408,1,0,0,1,1,0
L00029,0.3666666666666667,0.0,0.0,0.0,1.1,0.0,1,1,9.0,0,0,3.833333333333333,0.7666666666666666,0.294,0.2,1.5333333333333332,0,0,17,1,2,3,1,4,1,2,8.545994425221865,0,1,1,0,1,1
